year,borough,zip,complaints,pop,complaints_norm,median_income,pct_below_poverty
2020,QUEENS,11412,233,37987,613.3677311,85235,9.121591616
2020,QUEENS,11413,184,41810,440.0861038,91836,6.491255711
2020,QUEENS,11414,122,27672,440.8788667,75599,12.02749141
2020,QUEENS,11415,363,18464,1965.987868,75476,10.17964072
2020,QUEENS,11416,175,26087,670.8322153,73471,13.17316777
2020,QUEENS,11417,217,31156,696.4950571,79210,13.06402611
2020,QUEENS,11418,354,37666,939.8396432,73856,11.23555556
2020,QUEENS,11419,373,47955,777.8125326,79589,11.33872129
2020,QUEENS,11420,158,47266,334.2783396,85190,10.60420181
2020,QUEENS,11421,226,39654,569.9298936,77738,8.856512141
2020,QUEENS,11422,136,32786,414.8111999,93397,6.732991659
2020,QUEENS,11423,322,29532,1090.342679,70990,12.4618825
2020,QUEENS,11426,12,20222,59.34131144,102770,7.157626849
2020,QUEENS,11427,233,25096,928.4348103,81688,7.501613944
2020,QUEENS,11428,74,19830,373.1719617,77466,9.606273485
2020,QUEENS,11429,84,27808,302.0713464,82532,13.67724207
2020,QUEENS,11432,1109,64282,1725.21079,66270,12.27780734
2020,QUEENS,11433,239,36929,647.1878469,62453,14.77240732
2020,QUEENS,11434,502,62590,802.0450551,65845,10.9623431
2020,QUEENS,11435,473,59392,796.403556,69873,14.38632833
2020,QUEENS,11436,121,18955,638.3539963,72962,9.133915575
2020,QUEENS,11691,910,68454,1329.359862,52605,23.09691443
2020,QUEENS,11692,287,22394,1281.593284,53077,18.38552916
2020,QUEENS,11693,42,13029,322.3578172,52946,15.85412668
2020,QUEENS,11694,257,21258,1208.956628,87755,9.716197794
2021,MANHATTAN,10001,330,26966,1223.763257,101409,11.97365655
2021,MANHATTAN,10002,1277,76807,1662.608877,37093,28.28684112
2021,MANHATTAN,10003,1400,54447,2571.307877,137533,8.752630952
2021,MANHATTAN,10004,10,4795,208.5505735,216017,2.69758637
2021,MANHATTAN,10005,7,8637,81.04665972,197188,2.446675031
2021,MANHATTAN,10006,11,3894,282.4858757,200536,3.314917127
2021,MANHATTAN,10007,16,8194,195.2648279,250001,4.4978435
2021,MANHATTAN,10009,1256,60000,2093.333333,77551,23.18155541
2021,MANHATTAN,10010,428,33193,1289.428494,131635,10.08823348
2021,MANHATTAN,10011,589,51867,1135.596815,139343,9.308055575
2021,MANHATTAN,10012,528,22269,2371.009026,117581,11.28385155
2021,MANHATTAN,10013,326,29563,1102.729764,137572,10.54807848
2021,MANHATTAN,10014,522,29815,1750.796579,136559,7.226463104
2021,MANHATTAN,10016,661,56758,1164.593537,136431,7.889755936
2021,MANHATTAN,10017,190,15514,1224.700271,136112,7.148136416
2021,MANHATTAN,10018,182,8063,2257.224358,130457,8.577728776
2021,MANHATTAN,10019,745,43989,1693.605219,105538,12.43419308
2021,MANHATTAN,10021,324,42484,762.6400527,136060,5.804241742
2021,MANHATTAN,10022,384,33303,1153.049275,156255,7.25921067
2021,MANHATTAN,10023,437,65891,663.2165243,136109,9.069898534
2021,MANHATTAN,10024,1198,63916,1874.335065,153177,8.308736217
2021,MANHATTAN,10025,2515,96918,2594.977197,103440,14.0760056
2021,MANHATTAN,10026,1763,39401,4474.505723,65038,18.11893042
2021,MANHATTAN,10027,3121,65840,4740.279465,58435,21.6092732
2021,MANHATTAN,10028,527,47793,1102.671939,149789,4.905203711
2021,MANHATTAN,10029,1640,77661,2111.742058,33901,33.05777616
2021,MANHATTAN,10030,1597,31611,5052.038847,42834,27.465487
2021,MANHATTAN,10031,3767,61801,6095.370625,57180,23.5551623
2021,MANHATTAN,10032,3675,60529,6071.469874,55059,20.27870122
2021,MANHATTAN,10033,3395,60739,5589.489455,71630,16.15618308
2021,MANHATTAN,10034,3171,43365,7312.348668,63851,17.4586056
2021,MANHATTAN,10035,1122,37042,3028.994115,32555,35.67247387
2021,MANHATTAN,10036,569,30437,1869.435227,98177,12.82395957
2021,MANHATTAN,10037,950,19374,4903.478889,48782,24.19875025
2021,MANHATTAN,10038,137,23356,586.5730433,99924,19.12521441
2021,MANHATTAN,10039,1433,27234,5261.805097,50164,21.44588745
2021,MANHATTAN,10040,2563,45771,5599.615477,54700,19.93091746
2021,MANHATTAN,10044,32,12155,263.2661456,115294,6.064306064
2021,MANHATTAN,10065,366,31270,1170.450911,152335,6.448609732
2021,MANHATTAN,10069,5,5774,86.5950814,183178,16.86156167
2021,MANHATTAN,10075,265,23391,1132.914369,131372,12.82407786
2021,MANHATTAN,10128,607,58147,1043.905962,127919,9.008210964
2021,MANHATTAN,10162,0,2268,0,99300,0
2021,MANHATTAN,10280,14,8582,163.132137,178148,2.875475285
2021,MANHATTAN,10282,7,6419,109.0512541,250001,2.208446339
2021,STATEN ISLAND,10301,632,38736,1631.557208,78053,14.44646352
2021,STATEN ISLAND,10302,183,18144,1008.597884,73927,19.11738431
2021,STATEN ISLAND,10303,242,27469,880.9931195,69879,19.36330035
2021,STATEN ISLAND,10304,442,43849,1008.004744,64539,19.57783641
2021,STATEN ISLAND,10305,190,44531,426.669062,76833,9.606111842
2021,STATEN ISLAND,10306,222,55805,397.813816,88687,8.733602422
2021,STATEN ISLAND,10307,8,14828,53.95198274,117469,6.179556937
2021,STATEN ISLAND,10308,12,30353,39.5348071,116082,7.055682685
2021,STATEN ISLAND,10309,23,35832,64.18843492,107500,11.30922899
2021,STATEN ISLAND,10310,151,25976,581.3058208,96161,13.42888644
2021,STATEN ISLAND,10312,52,63935,81.33260343,100875,6.605859591
2021,STATEN ISLAND,10314,121,93736,129.0859435,94578,9.004754258
